price,odo,khv,vdk,blg,age
1120000.0,144877.0,0.0,0.0,1.0,13.0
1250000.0,186000.0,0.0,1.0,0.0,10.0
1390500.0,159000.0,0.0,0.0,1.0,10.0
1350000.0,209000.0,0.0,0.0,1.0,12.0
1250000.0,140000.0,0.0,0.0,1.0,11.0
1270000.0,175000.0,0.0,0.0,1.0,12.0
1260000.0,196000.0,0.0,0.0,1.0,13.0
1230000.0,270000.0,0.0,0.0,1.0,10.0
849000.0,260680.0,0.0,0.0,1.0,13.0
1200000.0,225000.0,0.0,0.0,1.0,13.0
1200000.0,210000.0,0.0,0.0,1.0,13.0
1380000.0,216000.0,0.0,0.0,1.0,10.0
980000.0,230000.0,0.0,0.0,1.0,13.0
1215000.0,181000.0,0.0,0.0,1.0,13.0
1530000.0,89000.0,0.0,0.0,1.0,13.0
860000.0,281000.0,0.0,0.0,1.0,13.0
1450000.0,139000.0,0.0,0.0,1.0,10.0
1195000.0,155000.0,0.0,0.0,1.0,10.0
1150000.0,260548.0,0.0,0.0,1.0,13.0
1085000.0,308000.0,0.0,0.0,1.0,13.0
1250000.0,170000.0,0.0,0.0,1.0,12.0
1080000.0,196000.0,0.0,0.0,1.0,13.0
1450000.0,260450.0,0.0,0.0,1.0,13.0
1240000.0,191300.0,0.0,0.0,1.0,10.0
800000.0,236000.0,0.0,0.0,1.0,14.0
1070000.0,207000.0,1.0,0.0,0.0,13.0
1000000.0,258000.0,0.0,0.0,1.0,12.0
1290000.0,154000.0,0.0,0.0,1.0,13.0
1400000.0,195000.0,0.0,0.0,1.0,10.0
1299000.0,203000.0,0.0,0.0,1.0,12.0
1300000.0,207000.0,0.0,0.0,1.0,11.0
1100000.0,220000.0,0.0,0.0,1.0,14.0
1500000.0,130000.0,0.0,0.0,1.0,13.0
1200000.0,163400.0,0.0,0.0,1.0,13.0
1250000.0,180000.0,0.0,0.0,1.0,12.0
1100000.0,241000.0,0.0,0.0,1.0,11.0
1260000.0,221000.0,0.0,0.0,1.0,11.0
1240000.0,120000.0,0.0,0.0,1.0,10.0
1250000.0,250000.0,0.0,0.0,1.0,13.0
1100000.0,198000.0,0.0,1.0,0.0,13.0
1100000.0,137396.0,0.0,0.0,1.0,13.0
1430000.0,170000.0,0.0,0.0,1.0,11.0
990000.0,255000.0,0.0,0.0,1.0,13.0
1315000.0,135000.0,0.0,0.0,1.0,11.0
1340000.0,201000.0,0.0,0.0,1.0,13.0
1250000.0,158000.0,0.0,0.0,1.0,12.0
1100000.0,180000.0,0.0,0.0,1.0,13.0
1050000.0,244000.0,0.0,0.0,1.0,11.0
850000.0,400000.0,0.0,0.0,1.0,13.0
1260000.0,248000.0,0.0,0.0,1.0,12.0
1340000.0,183000.0,0.0,0.0,1.0,10.0
1180000.0,158000.0,0.0,0.0,1.0,13.0
990000.0,327000.0,0.0,0.0,1.0,12.0
1530000.0,125000.0,0.0,0.0,1.0,11.0
1000000.0,271000.0,0.0,0.0,1.0,13.0
1300000.0,240000.0,0.0,0.0,1.0,10.0
1250000.0,152000.0,0.0,0.0,1.0,11.0
1150000.0,200000.0,0.0,1.0,0.0,10.0
1070000.0,221000.0,0.0,0.0,1.0,13.0
1335000.0,105000.0,0.0,0.0,1.0,12.0
1310000.0,88000.0,0.0,0.0,1.0,12.0
1330000.0,218000.0,0.0,0.0,1.0,12.0
1050000.0,274674.0,1.0,0.0,0.0,14.0
1100000.0,182200.0,0.0,1.0,0.0,12.0
1040000.0,221151.0,0.0,1.0,0.0,11.0
1300000.0,275559.0,0.0,1.0,0.0,12.0
1150000.0,230000.0,0.0,1.0,0.0,13.0
900000.0,211042.0,1.0,0.0,0.0,13.0
1050000.0,230000.0,1.0,0.0,0.0,13.0
1050000.0,213529.0,0.0,1.0,0.0,13.0
1350000.0,159119.0,0.0,1.0,0.0,12.0
1300000.0,330000.0,0.0,1.0,0.0,10.0
999000.0,285000.0,0.0,1.0,0.0,13.0
1400000.0,130000.0,1.0,0.0,0.0,12.0
1070000.0,175000.0,0.0,1.0,0.0,14.0
1100000.0,270000.0,1.0,0.0,0.0,13.0
1210000.0,148000.0,0.0,1.0,0.0,10.0
955000.0,275000.0,0.0,1.0,0.0,12.0
1220000.0,190000.0,1.0,0.0,0.0,13.0
950000.0,279000.0,0.0,1.0,0.0,14.0
940000.0,366000.0,0.0,1.0,0.0,11.0
1150000.0,376000.0,0.0,1.0,0.0,11.0
850000.0,170668.0,0.0,1.0,0.0,13.0
1310000.0,139000.0,1.0,0.0,0.0,12.0
1190000.0,230000.0,0.0,1.0,0.0,11.0
1175000.0,107000.0,0.0,1.0,0.0,12.0
1200000.0,158000.0,0.0,1.0,0.0,10.0
1200000.0,164000.0,0.0,1.0,0.0,12.0
1385000.0,150000.0,1.0,0.0,0.0,11.0
870000.0,274000.0,0.0,1.0,0.0,13.0
1250000.0,255000.0,0.0,1.0,0.0,12.0
799999.0,340000.0,0.0,1.0,0.0,13.0
1100000.0,318219.0,0.0,1.0,0.0,14.0
1350000.0,128000.0,0.0,1.0,0.0,11.0
980000.0,300000.0,0.0,1.0,0.0,13.0
1200000.0,300000.0,0.0,1.0,0.0,12.0
1160000.0,199347.0,0.0,1.0,0.0,10.0
980999.0,283000.0,0.0,1.0,0.0,13.0
1200000.0,304000.0,0.0,1.0,0.0,11.0
1200000.0,230000.0,0.0,1.0,0.0,13.0
1150000.0,383150.0,1.0,0.0,0.0,13.0
1210000.0,210000.0,0.0,1.0,0.0,11.0
1099000.0,348000.0,0.0,1.0,0.0,10.0
1100000.0,290000.0,0.0,1.0,0.0,13.0
1180000.0,126000.0,0.0,1.0,0.0,12.0
1100000.0,333048.0,1.0,0.0,0.0,11.0
1350000.0,235000.0,0.0,1.0,0.0,11.0
1200000.0,192000.0,0.0,1.0,0.0,13.0
975000.0,210000.0,1.0,0.0,0.0,13.0
1040000.0,312000.0,0.0,1.0,0.0,13.0
1080000.0,252000.0,0.0,1.0,0.0,13.0
1100000.0,227000.0,0.0,1.0,0.0,11.0
1350000.0,165000.0,0.0,1.0,0.0,11.0
1450000.0,145000.0,1.0,0.0,0.0,10.0
1050000.0,276927.0,1.0,0.0,0.0,13.0
1310000.0,88000.0,0.0,1.0,0.0,12.0
1100000.0,222000.0,1.0,0.0,0.0,13.0
1150000.0,263000.0,1.0,0.0,0.0,11.0
1100000.0,240000.0,0.0,1.0,0.0,13.0
1330000.0,162000.0,1.0,0.0,0.0,12.0
1250000.0,250000.0,1.0,0.0,0.0,10.0
1300000.0,195000.0,1.0,0.0,0.0,10.0
999999.0,160000.0,1.0,0.0,0.0,13.0
1420000.0,138000.0,1.0,0.0,0.0,10.0
1000050.0,380000.0,1.0,0.0,0.0,13.0
1250000.0,181100.0,1.0,0.0,0.0,13.0
1200000.0,300000.0,1.0,0.0,0.0,13.0
1170000.0,235000.0,1.0,0.0,0.0,11.0
1420000.0,153500.0,1.0,0.0,0.0,13.0
980000.0,232000.0,1.0,0.0,0.0,13.0
1335000.0,105000.0,1.0,0.0,0.0,12.0
1310000.0,88000.0,1.0,0.0,0.0,12.0
1350000.0,260000.0,1.0,0.0,0.0,13.0
1100000.0,220000.0,0.0,0.0,1.0,12.0
850000.0,150000.0,0.0,0.0,1.0,12.0
1130000.0,202000.0,0.0,1.0,0.0,13.0
1090000.0,200000.0,0.0,1.0,0.0,13.0
1090000.0,242000.0,0.0,1.0,0.0,11.0
1000000.0,213000.0,0.0,1.0,0.0,13.0
